synonym,line_name,line_name_one,family,new_fam,NAM_name,diff_sort,man_sort,man_sort_reverse,Pop_location,color,N,fam_variance,fam_mean,fam_median,Proportion disimiliar,dis_sort,Population,Pop_location,pop_dis_sort,Ppd_H1,StP_15,StP_14_Al,StP_15_Al,Cr_16_1,Cr_16_2,Cr_16,StP_16_1,StP_16_2,StP_16,Mean,Mean_round,Mean_StP,Mean_weighted,parent_diff,Mean_inCralso,sum_pos,sum_neg,sum_all,sum_pos_im,sum_neg_im,sum_all_im,var_all_im,2H1_27204805,7H2_320469033,7H1_39192808
PI584977,PI584977,PI584977,84,80,HR684S,38,54,54,Asian,violet,79,12.94825068,50.71027589,49.45779622,0.041,75,2,Asian,57,Ras,51,NA,53,41,42,41.5,43,43,43,47.13,47,49,45.25,-4.87,45.25,2.038953116,-9.721301441,-7.682348325,-1.851793527,2.602483826,-159.9410782,0.006940422,0,0,-0.871642497
CIho14258,CIho14258,CIho14258,15,15,HR615S,34,53,55,Asian,violet,69,27.41414487,53.38329677,51.55293354,0.044,87,2,Asian,68,Ras,52,47,51,41,42,41.5,44,43,43.5,47,47,48.38,44.94,-5,44.94,3.488247886,-14.30186147,-10.81361359,-3.724166024,3.752543578,-83.97944033,0.015867875,-1.528711323,0.519906549,0.169557895
PI57089,PI057089,PI057089,24,23,HR624S,32,52,56,Asian,violet,62,8.104707271,52.51199952,52.66333978,0.041,74,2,Asian,56,Ras,51,47,51,42,43,42.5,42,42,42,46.7,47,47.75,45.13,-5.3,45.13,4.722889934,-5.146982765,-0.424092831,-3.804909059,2.114140977,-26.88521117,0.008639539,1.327278379,0.980840282,-1.402234384
PI135758,PI135758,PI135758,33,32,HR633S,25,51,57,Asian,violet,59,12.5254954,51.33106698,51.65508316,0.043,85,2,Asian,66,Ras,56,49,51,25,25,25,49,46,47.5,45.7,46,50.88,37.94,-6.3,37.94,0.904731898,-6.694241956,-5.789510058,-2.417117906,1.051341473,-111.8265886,0.003365353,-0.435560212,0,-0.196153333
CIho14228,CIho14228,CIho14228,14,14,HR614S,23,50,58,Asian,violet,62,7.657550333,54.60476101,53.89374262,0.042,80,2,Asian,60,Ras,56,54,57,16,16,16,45,45,45,45.6,46,53,34.5,-6.4,34.5,4.000071557,-3.369488524,0.630583033,-2.123718543,1.826985272,22.70664208,0.005339541,1.545529334,0,-1.368945464
PI574094,PI574094,PI574094,82,78,HR682S,14,49,59,Asian,violet,65,15.84601365,50.11876571,49.70416994,0.037,62,2,Asian,53,Ras,51,49,51,23,23,23,43,43,43,43.4,43,48.5,35.75,-8.6,35.75,0.48348431,-5.676594341,-5.193110031,-2.736904445,2.745511277,-113.92804,0.005910218,-0.356807592,0,0
PI410451,PI410451,PI410451,68,64,HR668S,12,48,60,Asian,violet,62,6.599418041,51.91788344,51.86804903,0.042,79,2,Asian,62,Ras,53,49,53,15,16,15.5,45,45,45,43.1,43,50,32.75,-8.9,32.75,5.594242601,-1.458298756,4.135943845,-2.118858293,2.482604939,12.52077234,0.007586227,0.531630903,0.76192303,-1.048624417
PI573615,PI573615,PI573615,80,76,HR680S,7,47,61,Asian,violet,61,10.27409912,49.12944161,48.4080977,0.043,84,3,Asian,67,Ras,50,44,51,20,23,21.5,43,44,43.5,42,42,47.13,34.31,-10,34.31,1.537968994,-3.873043479,-2.335074485,-1.498687518,0.294177965,-137.5572725,0.002524574,-0.481336781,-0.710385494,-0.335914009
PI410483,PI410483,PI410483,69,65,HR669S,4,46,62,Asian,violet,72,8.707274116,51.34848073,50.76116652,0.042,78,2,Asian,63,Ras,51,47,51,14,14,14,45,45,45,41.6,42,48.5,31.25,-10.4,31.25,6.714255888,-4.103371303,2.610884585,-4.69357668,2.823969765,-16.70592698,0.009593459,1.468703455,0,-1.662007892
PI573878,PI573878,PI573878,81,77,HR681S,3,45,63,Asian,violet,50,12.1574427,51.28395268,51.01676125,0.042,77,2,Asian,64,Ras,50,47,49,17,18,17.5,43,44,43.5,41.4,41,47.38,32.44,-10.6,32.44,0.06169599,-9.157833978,-9.096137988,-2.690553496,1.821570492,-200.8157996,0.006858936,-1.40811086,0,0
CIho2542,CIho02542,CIho02542,3,3,HR603S,78,86,64,Admixed,goldenrod1,31,22.65325233,53.19720772,52.14776115,0.031,42,AD,Admixed,86,Ras,67,69,64,35,35,35,67,58,62.5,59.5,60,65.63,50.31,7.5,50.31,4.344814596,-5.66576944,-1.320954844,-3.0010233,4.323159151,46.78138922,0.007489607,-0.740813227,-1.545834144,1.431646484
PI640117,PI640117,PI640117,86,82,HR686S,77,85,65,Admixed,goldenrod1,38,6.030219253,56.63842696,56.23876675,0.034,58,AD,Admixed,89,Ras,65,70,65,34,34,34,63,62,62.5,59.3,59,65.63,49.81,7.3,49.81,8.06588972,-0.232715008,7.833174712,-2.2566024,2.398490805,111.1999271,0.005244743,1.338542145,0.793069177,-0.091452653
PI362207,PI362207,PI362207,58,54,HR658S,60,84,66,Admixed,goldenrod1,40,5.352435767,56.38199064,56.60855351,0.028,36,AD,Admixed,82,Ras,56,63,59,23,23,23,49,50,49.5,50.1,50,56.88,39.94,-1.9,39.94,6.751770312,-1.980131671,4.771638641,-1.154112853,2.215733613,93.24111637,0.004954499,1.089847292,0.150362379,0
CIho7247,CIho07247,CIho07247,9,9,HR609S,59,83,67,Admixed,goldenrod1,70,20.46560181,56.37897003,55.71799502,0.029,38,AD,Admixed,83,Ras,60,62,59,19,22,20.5,49,49,49,50.1,50,57.5,39,-1.9,39,2.920793827,-5.01041633,-2.089622503,-3.961536374,8.590867038,154.1879886,0.046197351,-1.047097399,-1.067408787,-0.826919919
PI392524,PI392524,PI392524,64,60,HR664S,57,82,68,Admixed,goldenrod1,61,13.19079024,51.56169889,50.47588733,0.034,56,AD,Admixed,88,Alternative,59,NA,59,27,34,30.5,49,52,50.5,49.75,50,56.17,43.33,-2.25,43.33,0.088428924,-5.489425962,-5.400997038,-2.706552421,1.991677053,-160.3866529,0.006726572,-0.813456804,-1.481248258,0.063871482
PI282616,PI282616,PI282616,44,43,HR644S,55,81,69,Admixed,goldenrod1,81,15.95385458,53.55309934,53.05152144,0.02,17,AD,Admixed,72,Ras,56,72,58,14,17,15.5,46,46,46,49.5,50,58,36.75,-2.5,36.75,4.227578162,-3.539358226,0.688219936,-1.151173506,2.079813357,46.55839603,0.00365043,-1.142013446,-1.254747938,0
PI402037,PI402037,PI402037,66,62,HR666S,54,80,70,Admixed,goldenrod1,63,2.761363628,54.93264583,54.67854703,0.022,23,AD,Admixed,76,Ras,56,65,58,18,21,19.5,48,49,48.5,49.4,49,56.88,38.19,-2.6,38.19,0.150293476,-0.293511927,-0.143218451,-0.866454209,1.133275595,25.39329688,0.000697632,0,0,0
