line name	trials
BONGIE	2011_9K_NB_allplates
BT_HAZERA127/1	2011_9K_NB_allplates
BUCHER	2011_9K_NB_allplates
BUENOS_AIRES109	2011_9K_NB_allplates
BULGARIAN_WINTER	2011_9K_NB_allplates
BULGARIAN347	2011_9K_NB_allplates
BULGARISCHE_NACKTE	2011_9K_NB_allplates
BURAT	2011_9K_NB_allplates
C.A.N.1098	2011_9K_NB_allplates
C.A.N.1105	2011_9K_NB_allplates
C.P.I.28360	2011_9K_NB_allplates
C.P.I.28363	2011_9K_NB_allplates
C.P.I.28369	2011_9K_NB_allplates
C196	2011_9K_NB_allplates
C250	2011_9K_NB_allplates
CALIF._NO.2336	2011_9K_NB_allplates
CAPE|CIHO5053	2011_9K_NB_allplates
CAPE|PI49154	2011_9K_NB_allplates
CARRE180	2011_9K_NB_allplates
CARRE42	2011_9K_NB_allplates
CARRE48	2011_9K_NB_allplates
CAVEDA	2011_9K_NB_allplates
CENAD1261	2011_9K_NB_allplates
CENAD345|PI361927	2011_9K_NB_allplates
CENAD396|PI327635	2011_9K_NB_allplates
CENAD396|PI341947	2011_9K_NB_allplates
CENTINELA	2011_9K_NB_allplates
CHAE-RAE-BAEC	2011_9K_NB_allplates
CHERVONEC	2011_9K_NB_allplates
CHILEAN_C	2011_9K_NB_allplates
CHM70	2011_9K_NB_allplates
CHOSEN	2011_9K_NB_allplates
CI_XI_LIU_LENG_TOU	2011_9K_NB_allplates
CI10058	2011_9K_NB_allplates
CI1172	2011_9K_NB_allplates
CI13383	2011_9K_NB_allplates
CI13385	2011_9K_NB_allplates
CI13460	2011_9K_NB_allplates
CI13461	2011_9K_NB_allplates
CI13507	2011_9K_NB_allplates
CI13737	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
CI13741	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
CI13742	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
CI13745	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
CI14282	2011_9K_NB_allplates
